Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,Downlink Tone,Op Status,Coverage,Affiliate,AllStar,Notes,Nets,Links,Web links,EchoLink,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,IRLP,Worldwide,North America,Local/Cluster,Feed,D-STAR Enabled,Node,Sources,YSF Digital Enabled,DG-ID,Mixed-Mode,Commands,Location Photo,Grid,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,52.8,NNW,,446.9375,441.9375,,Clear Creek,,Rocky Mountain Ham Radio,,CCARC,,,On-Air,,,,See the website for programming information.,,Full-time to the  Colorado TRBO System .,Rocky Mountain Ham Radio,,,7,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,52.8,NNW,,145.145,144.545,107.2,Clear Creek,,Colorado Repeater Assoc,E-power.,CCARC,,107.2,On-Air,Wide area. Denver metro.,,,,,,http://www.w0cra.org/info/squaw.html#145145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,53,SSE,,147,147.6,,Pueblo,,Carl Higbee,,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,WZ0N,"Fairplay, Sacramento Mountain",CO,OPEN,,53.1,WNW,,447.125,442.125,103.5,Park,,WZ0N,,CCARC,,103.5,On-Air,,,,Identifies with an 'S' following WZ0N callsign which identifies the site as Sacramento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,53.3,N,,927.7875,902.7875,156.7,Jefferson,,N0PYY,,,,,On-Air,Golden and Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,53.4,N,,448.975,443.975,123,Jefferson,,FRG,Linkable VHF/UHF Remote Base,CCARC,,,On-Air,Wide area.,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,53.4,N,,448.125,443.125,107.2,Jefferson,,Denver PD EEB,,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,54.1,NNW,,447.85,442.85,141.3,Clear Creek,,AC0KQ,AllStar node repeater providing wide area coverage along the Front Range,CCARC,,141.3,On-Air,Wide area at 9500',Rocky Mountain Ham Radio,29571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,54.3,E,,147.105,147.705,107.2,Elbert,,ARES of Douglas and Elbert Counties,Linked to CRA 447.150 - Conifer,CCARC,,107.2,On-Air,"I-70, E. Arapahoe, Elbert, Lincoln Counties",Colorado Repeater Association,,,,"Full-time to  
        448.42500 (W0CRA) at Larkspur, Westcreek, CO .",http://www.w0cra.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,54.8,NNW,,146.985,146.385,100,Denver,,El Jebel RADOPS,E-power.,CCARC,,100,On-Air,,,,,RADOPS: Sun at 19:00.,,,,,,,,,,,,,3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,54.8,NNW,,146.64,146.04,100,Jefferson,,Denver Radio League,E-power.,CCARC,,,On-Air,"Wide area. 
   Repeater Coverage Map",,,8,,,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,54.8,NNW,,145.28,144.68,100,Jefferson,,,"Closed autopatch, e-power, linked.",CCARC,,,On-Air,Wide area.,,,"PL is usually off, allowing use by older transceivers.",Sun at 19:30. Everyone welcome.,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,54.8,NNW,,449.525,444.525,CSQ,Jefferson,,KE0SJ,E-power.,CCARC,,,On-Air,,,,,,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,54.8,NNW,,448.625,443.625,100,Jefferson,,Denver Radio Club,E-power.,CCARC,,100,On-Air,Denver metro area.,,,,DRC: Sun at 20:30.,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,55.3,N,,446.975,441.975,,Jefferson,,W0DMR,,,,,On-Air,Denver Metro Area,,,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",,http://www.w0dmr.org/,,,0,,,,,,,,,,,,,,,,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local",,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,A,55.8,NNW,,927.8375,902.025,,Jefferson,,,,CCARC,,,On-Air,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills.,,45770,The offset is -25.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,,,,,,,,,,,,,,,,,
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,,55.8,NNW,,446.7875,441.7875,,Jefferson,,Denver Radio Club,,CCARC,,,On-Air,,Brandmeister Network,,,,,http://www.w0tx.org/,,,1,,,,,,,,,,,,,,,,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,56,NNW,,224.74,223.14,88.5,Jefferson,,Aurora Repeater Assoc,e-power,CCARC,,88.5,On-Air,,,,,ARA: Wed at 2000.,,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,56,NNW,,449.75,444.75,103.5,Jefferson,,Rocky Mtn Radio League,8,CCARC,,103.5,On-Air,,,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,56,NNW,,448.85,443.85,88.5,Jefferson,,Aurora Repeater Assoc,e-power.,CCARC,,88.5,On-Air,"Denver metro, central front range",,,,ARA: Wed at 20:00.,,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,56,NNW,,147.15,147.75,100,Jefferson,,Aurora Repeater Assoc (ARA),e-power,CCARC,,100,On-Air,"Denver metro, central front range",,,,ARA: Wed at 20:00.,"Linkable to  
        224.74000 (N0POH) at Golden, Guy Hill, CO .",ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,56,NNW,,145.22,144.62,103.5,Jefferson,,Rocky Mtn Radio League,8,CCARC,,103.5,On-Air,Wide area.,,,Talk-Group of $FFFF.,,,Repeater,,,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,293,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,56,NNW,,224,222.4,103.5,Jefferson,,Rocky Mountain Radio League,8,CCARC,,103.5,On-Air,,,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,56.5,SSE,,146.655,146.055,123,Pueblo,,K0ST,,CCARC,,CSQ,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,56.5,SSE,,449.725,444.725,100,El Paso,,N0PWZ,,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,,56.5,SSE,,145.115,144.515,88.5,Pueblo,,Pueblo Ham Club,E-power.,CCARC,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC0 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,56.5,SSE,,447.7,442.7,210.7,Pueblo,,,,CCARC,,210.7,Off-Air,,,29228,,,,,,,0,,,,,,,,7389,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,56.5,SSE,,146.88,146.28,88.5,Pueblo,,Pueblo HC,E-power.,CCARC,,CSQ,On-Air,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,57.2,NNW,,449.05,444.05,107.2,Denver,,WG0N,E-power.,CCARC,,107.2,On-Air,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,K0GUR,"Denver, Green Valley Ranch",CO,OPEN,EA,57.9,NNE,,448.15,443.15,141.3,Denver,,K0GUR,E-power (batt).  2 meter and 70cm channel steerable remote bases.,CCARC,,141.3,On-Air,"Small coverage of the East Denver area SW of DIA. 
   Repeater Coverage Map",,29436,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list.  The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",Full-time to the  The Fun Machine System .,k0jsc.com,24340,,,,,,,,,,,,,,Listen Live,,,,,,,,,DM79pt,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,57.9,WNW,,147.39,147.99,88.5,Summit,,Colorado Connection,12,CCARC,,123,On-Air,Wide area.,,,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx","Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",Full-time to the  Colorado Connection System .,Breckenridge Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC6,K0JSC,Pueblo,CO,OPEN,,58,SSE,,446.9875,441.9875,,Pueblo,,,,CCARC,,,Off-Air,,RMHAM,,,,Full-time to the  Colorado TRBO System .,Rocky Mountain Ham Radio,,,6,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,58,SSE,,147.24,147.84,103.5,Pueblo,,TARA,,CCARC,,CSQ,Off-Air,Pueblo and Fremont Counties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,58,SSE,,447.275,442.275,100,Pueblo,,,,CCARC,,100,On-Air,,The Fun Machine,,"Moved to Pueblo.  Now called ""Pueblo Metro""","APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00.",Full-time to the  The Fun Machine System .,The Fun Machine,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,58.2,N,,449.3,444.3,100,Adams,,N1UPS,,CCARC,,,On-Air,,,,,,,,43699,,,,,,,,,,3699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC7,N0SZ,"Breckenridge, Baldy",CO,OPEN,,58.9,WNW,,445.0875,440.0875,,Fremont,,K2AD,,,,,On-Air,,Rocky Mountain Ham Radio,,,,,http://www.rmham.org/,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,59.9,WSW,,446.975,441.975,,Chaffee,,Crestone Amateur Radio Emergency Services,,CCARC,,,On-Air,,Crestone Amateur Radio Emergency Services,,,,,KD0QPG,,,,,,,,,,,,,,,,,KD0QPG (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,59.9,WSW,,446.8125,441.8125,,Chaffee,,RMHAM,,,,,On-Air,,,,,,,,,,0,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,61.7,N,,147.045,147.645,123,Adams,,Northglenn RA,E-power.,CCARC,,CSQ,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,62.4,WNW,,146.7,146.1,107.2,Summit,,GRARC,E-power.,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC7,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,63.1,WNW,,445.05,440.05,,Adams,,K2AD,,CCARC,,,On-Air,,Rocky Mountain Ham Radio,,,,,http://www.rmham.org/,,,7,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,63.3,SSW,,147.06,147.66,77,Custer,,http://www.qsl.net/rghc,E-power,CCARC,,77,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,63.3,SSW,,927.775,902.775,D116,Custer,,Royal Gorge Amateur Radio Club,,CCARC,,D116,On-Air,,,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,63.3,SSW,,448.325,443.325,100,Custer,,,,,,100,On-Air,,The Fun Machine,,,,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,63.3,SW,,145.295,144.695,107.2,Chaffee,,Cheyenne Mtn Repeater Group,,CCARC,,,On-Air,Wide area.,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,63.3,SSW,,448.15,443.15,103.5,Custer,,Royal George ARC,E-power.,CCARC,,103.5,On-Air,,,,,,,http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,63.3,SW,,147.285,147.885,88.5,Chaffee,,Colorado Connection,11,CCARC,,123,On-Air,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,63.3,SSW,,919.1,894.1,88.5,Pueblo,,Pueblo HC,,CCARC,,CSQ,Off-Air,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,63.7,WNW,,145.445,144.845,88.5,Lake,,Colorado Connection,E-power (solar).,CCARC,,,On-Air,,,,"At 13,685;, it is one of the highest 2-meter repeaters in North America.","Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,63.8,SW,,449.975,444.975,100,Chaffee,,,2,CCARC,,100,On-Air,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,,28368,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",Full-time to the  The Fun Machine System .,K0JSC.COM,363976,,,,,,,,,,7301,,,,,,,,,,,,,DM68xk,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,63.9,SW,,449.65,444.65,107.2,Chaffee,,,E-power.,CCARC,,,On-Air,Wide area.,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,63.9,SW,,449.925,444.925,103.5,Chaffee,,,E-power (Bat),CCARC,,103.5,On-Air,"Upper Arkansas and Platte Rivers, and the SLV",Colorado ARES,,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,64,N,,448.925,443.925,131.8,Boulder,,W0LMA,,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,64,N,,449.825,444.825,103.5,Boulder,,Rocky Mountain Radio League,6,CCARC,,,On-Air,Along the foothills and into Boulder where the 94 repeater is shadowed.,,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,64.5,WSW,,146.745,146.145,100,Chaffee,,CLARA,E-power.,CCARC,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,64.8,NNW,,449.225,444.225,141.3,Gilpin,,Rocky Mountain Ham Radio (RMHR),Emergency Power,CCARC,,141.3,On-Air,Wide area.,,,"Emcomm Affiliated, Open repeater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,64.8,NNW,,145.31,144.71,88.5,Gilpin,,Colorado Connection,10,CCARC,,123,On-Air,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",,,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX","Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,66.2,S,,224.32,222.72,88.5,Custer,,Pueblo Ham Club,11,CCARC,,,Off-Air,,,,,,,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,66.2,S,,449.625,444.625,107.2,Custer,,,E-power.,CCARC,,,On-Air,,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,66.2,S,,447.175,442.175,88.5,Pueblo,,Pueblo HC,11,CCARC,,,Off-Air,Wide area: Southeast Colorado.,,,,,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,68.1,NNW,,224.6,223,100,Gilpin,Unknown,W0RM,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,68.6,WNW,,147.24,147.84,156.7,Lake,,,,CCARC,,156.7,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,69,N,,448.9,443.9,100,Boulder,,Boulder ARC,6,CCARC,,,On-Air,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,69,N,,146.61,146.01,100,Boulder,,Boulder Amateur Radio Club,,CCARC,,,Off-Air,,,,,,,,,,,,,,,,,,7007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,69,N,,146.7,146.1,100,Boulder,,Boulder Co ARC,6,CCARC,,,On-Air,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",,,,,,BARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,KD0RG,Brighton,CO,OPEN,,69.6,N,,449.925,444.925,114.8,Adams,,KD0RG,,CCARC,,114.8,On-Air,,K0UPS Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,71.5,N,,449.4,444.4,91.5,Boulder,,BARC,2,CCARC,,,Off-Air,,,,,,,http://www.ked-wireless.com/products1.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,71.5,N,,446.8625,441.8625,,Boulder,,Boulder County ARES,,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,KC0DS (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,71.5,N,,446.8,441.8,,Boulder,,Rocky Mountain Ham Radio,,CCARC,,,On-Air,Wide area.,Rocky Mountain Ham Radio,,See website for complete information regarding timeslot/colorcode/talkgroup programming.,,Full-time to the  Colorado TRBO System .,Rocky Mountain Ham Radio,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
